id,sentence1,sentence2,paraphrase_type_ids,sentence1_segment_location,sentence2_segment_location,sentence1_tokenized,sentence2_tokenized
819078fe-618b-452e-998f-c956e828504b,"Axcan's shares closed down 63 Canadian cents, or 4 percent, at C$16.93 in Toronto on Tuesday.","Axcan's shares were down 3.8 percent, or 66 Canadian cents, at C$16.90 in Toronto on Tuesday.","[6, 26, 29, 30, 30, 30]","[29, 29, 29, 6, 29, 30, 26, 26, 0, 0, 30, 0, 29, 29, 29, 29, 30, 29, 29, 29, 29, 29]","[29, 29, 29, 6, 29, 30, 0, 0, 0, 30, 26, 26, 29, 29, 29, 29, 30, 29, 29, 29, 29, 29]","['Axcan', ""'s"", 'shares', 'closed', 'down', '63', 'Canadian', 'cents', ',', 'or', '4', 'percent', ',', 'at', 'C', '$', '16.93', 'in', 'Toronto', 'on', 'Tuesday', '.']","['Axcan', ""'s"", 'shares', 'were', 'down', '3.8', 'percent', ',', 'or', '66', 'Canadian', 'cents', ',', 'at', 'C', '$', '16.90', 'in', 'Toronto', 'on', 'Tuesday', '.\n']"
cbb02ed5-f68e-4a9c-a6cb-46fa343c6f76,"""Landing on an aircraft carrier doesn't make up for the loss of 2.5 million jobs in America,"" said the senator, a much-decorated Vietnam War veteran.","""Landing on an aircraft carrier doesn't make up for the loss of 2.7 million jobs in America,"" Kerry said.","[6, 26, 25, 29, 30]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 0, 29, 29, 29, 29, 29, 29, 29, 26, 26, 25, 25, 25, 25, 25, 25, 29]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 29, 25, 25, 25, 25, 25, 25, 26, 25, 25]","['``', 'Landing', 'on', 'an', 'aircraft', 'carrier', 'does', ""n't"", 'make', 'up', 'for', 'the', 'loss', 'of', '2.5', 'million', 'jobs', 'in', 'America', ',', ""''"", 'said', 'the', 'senator', ',', 'a', 'much-decorated', 'Vietnam', 'War', 'veteran', '.']","['``', 'Landing', 'on', 'an', 'aircraft', 'carrier', 'does', ""n't"", 'make', 'up', 'for', 'the', 'loss', 'of', '2.7', 'million', 'jobs', 'in', 'America', ',', ""''"", 'Kerry', 'said', '.\n']"
d5d6e61e-f3ab-41c9-90b4-f002a5fb5d09,Board Chancellor Robert Bennett declined to comment on personnel matters Tuesday.,"Mr. Mills declined to comment yesterday, saying that he never discussed personnel matters.","[6, 29, 30, 30]","[30, 30, 30, 30, 6, 0, 0, 0, 0, 0, 30, 29]","[30, 30, 6, 0, 0, 30, 0, 6, 6, 6, 6, 6, 29, 29, 29]","['Board', 'Chancellor', 'Robert', 'Bennett', 'declined', 'to', 'comment', 'on', 'personnel', 'matters', 'Tuesday', '.']","['Mr.', 'Mills', 'declined', 'to', 'comment', 'yesterday', ',', 'saying', 'that', 'he', 'never', 'discussed', 'personnel', 'matters', '.\n']"
52c4eb8e-5070-4186-a178-86988cbce1cb,"Helen Sharkey, 31, and Gene Foster, 44, pleaded guilty Tuesday to one count of conspiracy to commit securities fraud.","The two others, former Dynegy executives Helen Christine Sharkey, 31, and Gene Shannon Foster, 44, pleaded guilty Tuesday to one count of conspiracy to commit securities fraud.","[6, 6, 25, 29]","[6, 6, 25, 25, 25, 25, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","[25, 25, 25, 25, 25, 25, 25, 6, 6, 6, 0, 0, 0, 0, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Helen', 'Sharkey', ',', '31', ',', 'and', 'Gene', 'Foster', ',', '44', ',', 'pleaded', 'guilty', 'Tuesday', 'to', 'one', 'count', 'of', 'conspiracy', 'to', 'commit', 'securities', 'fraud', '.']","['The', 'two', 'others', ',', 'former', 'Dynegy', 'executives', 'Helen', 'Christine', 'Sharkey', ',', '31', ',', 'and', 'Gene', 'Shannon', 'Foster', ',', '44', ',', 'pleaded', 'guilty', 'Tuesday', 'to', 'one', 'count', 'of', 'conspiracy', 'to', 'commit', 'securities', 'fraud', '.\n']"
a8e18cf6-0bd8-4333-8331-fb6cd14b1456,"As part of the agreement to extradite the two best friends from Canada, prosecutors agreed not to seek the death penalty.","As part of a 2001 agreement to extradite them from Canada, prosecutors agreed not to seek the death penalty.","[6, 6, 25, 29]","[25, 25, 25, 6, 25, 25, 25, 6, 6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","[0, 0, 0, 6, 25, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['As', 'part', 'of', 'the', 'agreement', 'to', 'extradite', 'the', 'two', 'best', 'friends', 'from', 'Canada', ',', 'prosecutors', 'agreed', 'not', 'to', 'seek', 'the', 'death', 'penalty', '.']","['As', 'part', 'of', 'a', '2001', 'agreement', 'to', 'extradite', 'them', 'from', 'Canada', ',', 'prosecutors', 'agreed', 'not', 'to', 'seek', 'the', 'death', 'penalty', '.\n']"
7dead460-c9f4-4001-b12a-d6ba8d146837,"Gartner raised its own worldwide PC shipment forecast in August to 8.9 per cent growth for 2003, up from expectations of 7.2 per cent.","Gartner Inc. also raised its worldwide PC shipment forecast in August to 8.9 percent growth for 2003, up from expectations of 7.2 percent.","[29, 6, 6, 11, 25]","[6, 29, 11, 11, 29, 29, 29, 29, 29, 29, 29, 29, 0, 0, 29, 29, 29, 29, 29, 29, 29, 29, 29, 6, 6, 29]","[6, 6, 0, 29, 11, 29, 29, 29, 29, 29, 29, 29, 29, 0, 29, 29, 29, 29, 29, 29, 29, 29, 29, 6, 29]","['Gartner', 'raised', 'its', 'own', 'worldwide', 'PC', 'shipment', 'forecast', 'in', 'August', 'to', '8.9', 'per', 'cent', 'growth', 'for', '2003', ',', 'up', 'from', 'expectations', 'of', '7.2', 'per', 'cent', '.']","['Gartner', 'Inc.', 'also', 'raised', 'its', 'worldwide', 'PC', 'shipment', 'forecast', 'in', 'August', 'to', '8.9', 'percent', 'growth', 'for', '2003', ',', 'up', 'from', 'expectations', 'of', '7.2', 'percent', '.\n']"
f9a53fda-78f0-400a-a5ed-ae0f546308a0,"""I carried 100 percent of the votes in San Jose -- of all the Austrian-born body builders,"" Schwarzenegger said during the benefit at the Fairmont Hotel.","""I carried 100 percent of the votes in San Jose - of all the Austrian-born body builders,"" Schwarzenegger quipped.","[6, 25, 29, 21]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 0, 29, 29, 29, 29, 29, 29, 29, 29, 29, 6, 25, 25, 25, 25, 25, 25, 25, 29]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 29, 29, 29, 29, 29, 25, 25, 25, 25, 25, 6, 25]","['``', 'I', 'carried', '100', 'percent', 'of', 'the', 'votes', 'in', 'San', 'Jose', '--', 'of', 'all', 'the', 'Austrian-born', 'body', 'builders', ',', ""''"", 'Schwarzenegger', 'said', 'during', 'the', 'benefit', 'at', 'the', 'Fairmont', 'Hotel', '.']","['``', 'I', 'carried', '100', 'percent', 'of', 'the', 'votes', 'in', 'San', 'Jose', '-', 'of', 'all', 'the', 'Austrian-born', 'body', 'builders', ',', ""''"", 'Schwarzenegger', 'quipped', '.\n']"
92e8aab7-b399-4017-a2d4-9577556cd607,"This is a case about a woman who for 20 years dedicated her life to this country,"" said Janet Levine.","""This case is about a woman who for over 20 years dedicated herself to this country,"" Levine said.","[6, 6, 24, 26, 25, 29, 21]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29]","[0, 29, 29, 24, 29, 29, 29, 29, 29, 25, 29, 29, 29, 24, 29, 29, 29, 29, 29, 26, 29, 29]","['This', 'is', 'a', 'case', 'about', 'a', 'woman', 'who', 'for', '20', 'years', 'dedicated', 'her', 'life', 'to', 'this', 'country', ',', ""''"", 'said', 'Janet', 'Levine', '.']","['``', 'This', 'case', 'is', 'about', 'a', 'woman', 'who', 'for', 'over', '20', 'years', 'dedicated', 'herself', 'to', 'this', 'country', ',', ""''"", 'Levine', 'said', '.\n']"
6446b10a-84a2-4a1d-825e-1e3a54eebb39,"On the other hand, if this will help further establish Steve's innocence, we welcome it.""","If draining the ponds in Maryland will further help establish Steve's innocence, we welcome it.""","[6, 26, 25, 29]","[25, 25, 25, 25, 25, 0, 6, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[25, 6, 6, 6, 6, 6, 25, 26, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","['On', 'the', 'other', 'hand', ',', 'if', 'this', 'will', 'help', 'further', 'establish', 'Steve', ""'s"", 'innocence', ',', 'we', 'welcome', 'it', '.', ""''""]","['If', 'draining', 'the', 'ponds', 'in', 'Maryland', 'will', 'further', 'help', 'establish', 'Steve', ""'s"", 'innocence', ',', 'we', 'welcome', 'it', '.', ""''\n""]"
ccf6ee4a-96e2-4e69-818a-edab6774c4af,"At his request, he will be reassigned within the district.",District Superintendent J. Chester Floyd told reporters Monday that McCrackin will be reassigned within the district.,"[6, 25, 25, 29]","[25, 25, 25, 25, 6, 25, 25, 25, 25, 25, 25, 25]","[25, 25, 25, 25, 25, 25, 25, 25, 25, 6, 25, 25, 25, 25, 25, 25, 25]","['At', 'his', 'request', ',', 'he', 'will', 'be', 'reassigned', 'within', 'the', 'district', '.']","['District', 'Superintendent', 'J.', 'Chester', 'Floyd', 'told', 'reporters', 'Monday', 'that', 'McCrackin', 'will', 'be', 'reassigned', 'within', 'the', 'district', '.\n']"
7d87d217-12f4-4165-960f-559b66fad80f,"Terri Schiavo, 39, suffered severe brain damage following a heart attack 13 years ago.",She suffered severe brain damage following a heart attack in 1990.,"[6, 25, 29, 30]","[6, 6, 25, 25, 25, 29, 29, 29, 29, 29, 29, 29, 29, 0, 0, 0, 29]","[6, 25, 25, 25, 25, 25, 25, 25, 25, 29, 29, 25]","['Terri', 'Schiavo', ',', '39', ',', 'suffered', 'severe', 'brain', 'damage', 'following', 'a', 'heart', 'attack', '13', 'years', 'ago', '.']","['She', 'suffered', 'severe', 'brain', 'damage', 'following', 'a', 'heart', 'attack', 'in', '1990', '.\n']"
be0d8825-9b7e-4778-a01a-6cb0cfe9cc85,No charges have been filed in the deaths of the other victims; Lupas said authorities were making progress in the case.,"No charges have been filed in those deaths, but prosecutor David Lupas said authorities were making progress in the case.","[6, 6, 17, 25, 25, 29, 21]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29]","['No', 'charges', 'have', 'been', 'filed', 'in', 'the', 'deaths', 'of', 'the', 'other', 'victims', ';', 'Lupas', 'said', 'authorities', 'were', 'making', 'progress', 'in', 'the', 'case', '.']","['No', 'charges', 'have', 'been', 'filed', 'in', 'those', 'deaths', ',', 'but', 'prosecutor', 'David', 'Lupas', 'said', 'authorities', 'were', 'making', 'progress', 'in', 'the', 'case', '.\n']"
4eda2d15-09cc-4216-98ea-8f5e7ff98c16,"The US investment bank said: ""We believe the long-term prospects for the energy sector in the UK remain attractive.""","""We believe the long-term prospects for the energy sector in the UK remain attractive,"" Goldman said.","[26, 29, 29]","[29, 29, 29, 29, 29, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 29, 26]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 29, 29, 29]","['The', 'US', 'investment', 'bank', 'said', ':', '``', 'We', 'believe', 'the', 'long-term', 'prospects', 'for', 'the', 'energy', 'sector', 'in', 'the', 'UK', 'remain', 'attractive', '.', ""''""]","['``', 'We', 'believe', 'the', 'long-term', 'prospects', 'for', 'the', 'energy', 'sector', 'in', 'the', 'UK', 'remain', 'attractive', ',', ""''"", 'Goldman', 'said', '.\n']"
e865f1aa-6b36-4152-80df-d226992b742b,"He said they should ""not really be patrolling or be around those areas when they ... are conducting their prayers.""","He said they should ""not really be patrolling or be around those areas when they are in their time of when they're conducting their prayers.""","[25, 29, 21]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 25, 25, 25, 25, 25, 25, 25, 29, 29, 29, 29, 29]","['He', 'said', 'they', 'should', '``', 'not', 'really', 'be', 'patrolling', 'or', 'be', 'around', 'those', 'areas', 'when', 'they', '...', 'are', 'conducting', 'their', 'prayers', '.', ""''""]","['He', 'said', 'they', 'should', '``', 'not', 'really', 'be', 'patrolling', 'or', 'be', 'around', 'those', 'areas', 'when', 'they', 'are', 'in', 'their', 'time', 'of', 'when', 'they', ""'re"", 'conducting', 'their', 'prayers', '.', ""''\n""]"
bead6a2e-0a54-417c-816e-e4c3474375f1,President George W. Bush and top administration officials cited the threat from Iraq's banned weapons programs as the main justification for going to war.,President Bush and top officials in his administration cited the threat from Iraq's alleged chemical and biological weapons and nuclear weapons program as the main justification for going to war.,"[7, 11, 25, 25, 25, 29]","[25, 7, 7, 7, 25, 11, 11, 11, 25, 25, 25, 25, 25, 25, 25, 25, 0, 25, 25, 25, 25, 25, 25, 25, 25, 25]","[0, 7, 0, 11, 11, 11, 11, 11, 0, 0, 0, 0, 0, 0, 25, 25, 25, 25, 25, 25, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['President', 'George', 'W.', 'Bush', 'and', 'top', 'administration', 'officials', 'cited', 'the', 'threat', 'from', 'Iraq', ""'s"", 'banned', 'weapons', 'programs', 'as', 'the', 'main', 'justification', 'for', 'going', 'to', 'war', '.']","['President', 'Bush', 'and', 'top', 'officials', 'in', 'his', 'administration', 'cited', 'the', 'threat', 'from', 'Iraq', ""'s"", 'alleged', 'chemical', 'and', 'biological', 'weapons', 'and', 'nuclear', 'weapons', 'program', 'as', 'the', 'main', 'justification', 'for', 'going', 'to', 'war', '.\n']"
2d0061a4-1ae8-489a-a30e-ddb6f23bd73b,"Burns believed that confessing a crime he did not commit was the only way out, Richardson said.","To the frightened Burns, Richardson said, confessing a crime he did not commit looked like the only out.","[6, 24, 26, 25, 29]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 25, 25, 25]","[26, 26, 25, 26, 26, 24, 24, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 24]","['Burns', 'believed', 'that', 'confessing', 'a', 'crime', 'he', 'did', 'not', 'commit', 'was', 'the', 'only', 'way', 'out', ',', 'Richardson', 'said', '.']","['To', 'the', 'frightened', 'Burns', ',', 'Richardson', 'said', ',', 'confessing', 'a', 'crime', 'he', 'did', 'not', 'commit', 'looked', 'like', 'the', 'only', 'out', '.\n']"
9f975f6c-b112-4a62-abcb-596e531ab68f,A DOD team is working to determine how hackers gained access to the system and what needs to be done to fix the breach.,"A DoD team is on site to determine how this happened and what needs to be done to fix the breach, the release stated.","[6, 8, 25, 29, 28]","[25, 8, 25, 25, 6, 25, 25, 25, 29, 29, 29, 29, 29, 29, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","[29, 8, 29, 29, 6, 6, 29, 29, 29, 0, 0, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 25, 25, 25, 25, 29]","['A', 'DOD', 'team', 'is', 'working', 'to', 'determine', 'how', 'hackers', 'gained', 'access', 'to', 'the', 'system', 'and', 'what', 'needs', 'to', 'be', 'done', 'to', 'fix', 'the', 'breach', '.']","['A', 'DoD', 'team', 'is', 'on', 'site', 'to', 'determine', 'how', 'this', 'happened', 'and', 'what', 'needs', 'to', 'be', 'done', 'to', 'fix', 'the', 'breach', ',', 'the', 'release', 'stated', '.\n']"
a259f194-f5f8-4e42-929a-c380c1158562,Researchers found that people 65 and older who had fish once a week had a 60% lower risk of Alzheimer's than those who never or rarely ate fish.,"Older people who eat fish at least once a week could cut their risk of Alzheimer's by more than half, a study suggests.","[6, 7, 5, 6, 2, 26, 26, 25, 25, 29]","[5, 6, 0, 25, 25, 0, 26, 25, 6, 25, 25, 25, 25, 2, 26, 26, 26, 26, 25, 25, 25, 25, 0, 0, 0, 0, 0, 0, 0, 0, 25]","[26, 25, 25, 6, 25, 25, 25, 25, 25, 25, 2, 2, 0, 25, 25, 25, 25, 0, 26, 26, 26, 0, 0, 5, 6, 25]","['Researchers', 'found', 'that', 'people', '65', 'and', 'older', 'who', 'had', 'fish', 'once', 'a', 'week', 'had', 'a', '60', '%', 'lower', 'risk', 'of', 'Alzheimer', ""'s"", 'than', 'those', 'who', 'never', 'or', 'rarely', 'ate', 'fish', '.']","['Older', 'people', 'who', 'eat', 'fish', 'at', 'least', 'once', 'a', 'week', 'could', 'cut', 'their', 'risk', 'of', 'Alzheimer', ""'s"", 'by', 'more', 'than', 'half', ',', 'a', 'study', 'suggests', '.\n']"
8d388487-43c6-47f4-a308-51d594e77081,"Since Perkins' arrival at UConn in 1990 from Maryland, UConn has fielded six national championship teams in three sports - men's and women's basketball and men's soccer.","Since Perkins arrived at UConn in 1990 from Maryland, the Huskies have fielded six national championship teams in three sports -- men's basketball, women's basketball and men's soccer.","[6, 3, 17, 29, 21]","[29, 29, 0, 3, 29, 29, 29, 29, 29, 29, 29, 6, 0, 0, 29, 29, 29, 29, 29, 21, 21, 21, 21, 21, 21, 21, 21, 21, 29, 29, 29, 29, 29]","[29, 29, 3, 29, 29, 29, 29, 29, 29, 29, 6, 6, 0, 0, 29, 29, 29, 29, 29, 21, 21, 21, 21, 21, 21, 17, 17, 17, 17, 29, 29, 29, 29, 29]","['Since', 'Perkins', ""'"", 'arrival', 'at', 'UConn', 'in', '1990', 'from', 'Maryland', ',', 'UConn', 'has', 'fielded', 'six', 'national', 'championship', 'teams', 'in', 'three', 'sports', '-', 'men', ""'s"", 'and', 'women', ""'s"", 'basketball', 'and', 'men', ""'s"", 'soccer', '.']","['Since', 'Perkins', 'arrived', 'at', 'UConn', 'in', '1990', 'from', 'Maryland', ',', 'the', 'Huskies', 'have', 'fielded', 'six', 'national', 'championship', 'teams', 'in', 'three', 'sports', '--', 'men', ""'s"", 'basketball', ',', 'women', ""'s"", 'basketball', 'and', 'men', ""'s"", 'soccer', '.\n']"
