id,sentence1,sentence2,similarity
b1fb1c8f-86cc-49a6-8977-0e6c0f30d238,Air Force Instructor Faces Sentencing for Rape,Women testify at Air Force instructor's sentencing,1.8
9e2bf245-9067-4661-8358-36e4985697a9,Boy and white dog running in grassy field,A boy and a dog running on grass,4.4
25d34a61-3199-42db-baec-b0384bca0868,A cat looking at the camera.,"A grey, black, and white cat looking at the camera.",4.0
6d7d8199-aa91-460a-92e0-df4cf5704235,5 killed in Israeli air strikes in Gaza,"38 IS militants killed in clashes, air strikes in Iraq",0.0
b2020b7f-35c0-469f-987b-f6ea7c398c7d,"While waiting for a bomb squad to arrive, the bomb exploded, killing Wells.",The bomb exploded while authorities waited for a bomb squad to arrive.,3.25
b743c649-5c27-463f-8562-cd951d2b1950,3 suspected extremists were released on bail.,1 suspected extremist was provisionally released without bail.,2.4
60af70be-0bb4-4fd8-affd-5a1121a8441b,A man is hanging by a line off a cliff above water.,Man sitting by himself on a pier with a bottle of water.,0.6
da2c6c9a-1ce7-4d0c-a02c-69001f9c760e,A person is chopping coriander leaves.,A woman is slicing up some green leaves.,2.25
fe686c64-e43e-4ef0-8361-996fd624e680,"On May 1, he crawled through a narrow, winding canyon, rappelled down a 60-foot cliff and walked some six miles down the canyon.","He crawled through a narrow, winding canyon, rappelled down a 60-foot cliff, and walked some six miles down the canyon near Canyonlands National Park in southeastern Utah.",3.75
28f72582-08d0-4331-8fdb-c805f629befe,Central African Republic president overthrown by rebels,"Central African Republic President, PM stepping down",2.6
2b0b4808-84b9-4161-89ab-9730682d4fb3,Head of CIA resigns over affair,Hall of Fame beckons for Capriati,0.0
dbc2d10c-2ee3-44ff-9917-8d0a127c76e6,A dog is barking.,A jet is flying.,0.231
859942f2-1037-4d1c-9cbe-8f6d228bc2fd,On War Criminals and Heroes: The Whitewashing of Ariel Sharon ŔÄ,On war criminals and heroes: The whitewashing of Ariel Sharon,5.0
d4e87d12-bdb7-4672-9ca9-0679d79f15be,Except that it wasn't.,Except that they couldn't.,1.0
458258b0-5220-4fb2-9834-9ffd15a94901,Two women posing with a baby.,A woman poses with a baby.,2.2
d7bbc1a5-1bc3-4dc2-8d01-47edc0ca1b23,A man is cutting up a potato.,A man is cutting up carrots.,2.375
89c7088c-3786-494e-b523-c0bdb9c8a349,The prices for everything you need have gone up due to inflation.,The prices of everything you own IE assets have gone down.,2.0
90498c3e-b9ea-4b82-b99e-14af6df690fc,And that is happening in GOP controlled states.,Michigan IS a GOP controlled state.,0.8
daac8f74-75d8-4c5a-b730-802c1264f562,It will also give Microsoft an opportunity to comment on remedies proposed by the Commission.,"Among other things, Microsoft is to comment on proposed remedies in its response.",4.2
75546c4c-39b3-42b1-a586-0b6a63b33232,the legislation is the most recent effort by japan to ascribe more freedom to its tightly controlled military and would overturn a ban on the military use of space.,the legislation is the most recent effort by japan to ascribe more freedom to the tightly controlled military technically known as a self-defense force.,3.8
1ec241e3-4bb8-4119-9ac6-dafddf39b5b2,Suicide bombing rocks elite Yemen military camp,Suicide bombers attack Yemen military posts,4.0
62a8feb3-c84c-437c-93e2-7955f47746c6,A child is waking up.,A girl is waking up.,3.2
89a48465-1ef5-4487-84bc-e51fa3f321b3,Westgate mall attackers spent four months planning in Nairobi,"Westgate attackers spent four months planning in Nairobi, says official",4.6
a1bb8f41-7f51-48a6-8d5d-070ba0dec285,Rock bands' plane makes emergency landing in Ill.,Rock Bands' Plane Makes Emergency Landing in Ill.,5.0
700e5bc2-bee3-4ed1-80f1-1e8dd7a03c95,Critical Gates memoir rocks Obama administration,Gates blast rocks Obama administration,4.0
72a948b2-7737-44a7-b034-9803fd6199c9,Australia returns asylum seekers to Sri Lanka in sea transfer,Australia: Australia hands asylum-seekers back to Sri Lanka,4.6
f3b06577-fe19-42d6-b9a9-3c53930b0632,A man is cutting tomatoes into pieces.,A woman is cutting potatoes.,1.8
486fd4f3-662a-4c97-aca6-62799759c6fe,22 killed in mine accident in southwestern China,"2 killed, dozens injured by blast in southwest Pakistan",0.6
12af3d7a-8139-4676-8947-e084a41c864a,"The center's president, Joseph Torsella, was struck on the head but was able to walk to an ambulance.",National Constitution Center President Joseph Torsella was hit in the head and knocked to his knees.,3.333
f1510c22-41ff-4087-8a81-c1809424582a,"""Three Weeks in October"" goes on sale Monday, nearly a year after the Washington, D.C.-area sniper shootings started.","Moose's book goes on sale Monday, nearly a year after the sniper shootings started in the Washington area.",3.25
ec01b34f-a557-44bb-803a-90ee8860aeee,SCO says the pricing terms for a license will not be announced for weeks.,"Details on pricing will be announced within a few weeks, McBride said.",2.6
ea4300d1-cf62-4995-89b8-67bca67881aa,What is your lid made of?,What is your paper for?,0.0
3fe8b166-dd8c-4e90-b50a-fc119c5c99ff,A small white dog chews on a twig while lying on a wooden deck.,The white dog is laying on the wooden floor underneath the table.,1.6
c2e7a633-b0ce-4086-8f63-de4b6095286c,"The Dow Jones industrials climbed more than 140 points to above the 9,000 mark, the first time since December.","The Dow Jones industrials briefly surpassed the 9,000 mark for the first time since December.""",3.6
32773d8f-4e4c-467c-b6c9-1e5909190dd3,Two men are playing football.,Two men are practicing football.,3.4
bd480c4c-6ff2-4779-9e22-7baecda7d322,VeriSign introduced its Site Finder service on Sept. 15.,"The battle around VeriSign""s three-week-old Site Finder service rages on.",1.75
f86100fc-fd8b-4d6e-97a7-035102a1519e,The cougar is chasing the bear.,A cougar is chasing a bear.,5.0
39515e99-f916-4231-8d08-f9f43bc71191,Greece bond exchange the largest debt restructuring in history,Greece secures biggest debt deal in history,2.8
720c1934-0475-4445-9432-c0d21ff7dcd6,A man does floor exercises.,A man is exercising.,3.6
b11a74d6-4583-4220-bc86-db50e764a844,"Singapore reported no suspected SARS cases Wednesday, but officials quarantined 70 people who had contact with the Taiwanese patient.","Still, Singapore quarantined 70 people who had been in close contact with the scientist.",3.0
01d5e880-b690-4f7b-8f19-c1246811e75a,Yes it is common!,The simple answer is yes!,3.0
604ce0a5-1873-47cf-851a-35c683abae3d,I have the same thing.,I had the same problem as you.,3.0
79467801-82dc-414d-8768-d3ceaafec43b,A man is walking on a rope.,A man is riding a mo-pad.,0.4
83a9cabf-250a-4ff1-8480-bb7a0a7592c2,korobeynichev's laboratory worked with the u.s. lawrence livermore national laboratory.,korobeynichev's laboratory worked with other scientific institutes.,3.2
fbc744e7-0651-425a-8c71-f718f168a52b,OPEC producers at a meeting on Wednesday are set to pressure independent oil exporters to contribute to the cartel's next supply cut to allow for the return of Iraqi oil.,OPEC this week is set to pressure independent exporters to back the cartel's next supply cut to prevent the resumption of Iraqi exports undercutting oil prices.,2.8
1fd0e73a-9a82-49c4-8e84-ef910b3ec7e2,A man is slicing vegetables.,A woman is slicing a potato.,2.25
938c73c6-0cbe-4b97-bd37-da03b619d5db,"But the FBI never kept tabs on al-Bayoumi - even though it had received information that he was a Saudi agent, the document says.","But the bureau never kept tabs on al-Bayoumi—despite receiving prior information he was a secret Saudi agent, the report says.",4.75
33ba9b1b-163b-4304-b27e-ffed70a4e95b,"Facing Bailout Tax, Cypriots Try to Get Cash Out of Banks",Bailout terms prompt run on Cyprus banks,3.0
a55d6bad-ffc4-46a2-8058-c567d6551940,The cats are playing with each other.,Two cats are fighting each other.,2.6
3088d37d-e457-4724-aa5c-4205926fe6f8,Critics say Putin’s security restrictions violate rights,Putin's security decree for Sochi draws ire of critics,3.2
87644dfd-4fc5-4e45-a290-657e151c298b,A small bird on a tiny branch.,A small bird perched on an icy branch.,3.0
500329e5-c4f0-4a1d-85f4-a7bf6b072f46,The WHO says the latest case does not fit its profile of SARS and is not a public health concern.,"The WHO has said the Singapore case did not fit its profile of SARS and was ""not an international public health concern.""",3.8
c2931456-3cc3-4721-ac56-157c77aa0bb3,"Graham, a presidential candidate, was criticized by several Republicans as ''politicizing'' the report.","Graham, who co-chaired the inquiry, is a presidential candidate.",2.25
407c4107-9386-4d84-9853-a614f7da64d3,It's about the baggage attached.,It's not the same thing.,0.0
6f8cfa8c-09dd-4cd4-a062-eb5a27bbfd36,"""They were tossed around like feathers,"" Gordon said.","""The concrete barriers (between lanes) were being tossed around like feathers.""",3.0
289c5884-44f1-434d-bef2-202cffbf408a,"Benchmark Treasury 10-year notes gained 17/32, yielding 4.015 percent.","The benchmark 10-year note was recently down 17/32, to yield 4.067 percent.",2.75
eb43232e-f00d-4b05-9548-05d102c09bfc,Group of people sitting at table of restaurant.,Two people sitting at a table at a restaurant.,3.8
1a5e90cd-77a0-4c45-b048-fdc9715272e8,N. Korea Deports Elderly American,North Korea deports detained US war veteran,2.0
bcceb987-94fa-419e-aaa6-6b5842fa02b5,A woman is wearing headphones.,A woman is chopping some shiso leaves.,0.6
17bd9880-c124-4484-a2e6-3d24a9be2f03,The department also sent water and soil samples to the state health laboratory.,Water samples are being sent to the state health department for analysis.,3.25
e86a2298-83eb-4e91-ac07-d3506e4a1ebf,"At Tuesday's arraignment hearing, Marsh pleaded not guilty to 122 counts of burial service fraud and 47 counts of making false statements.",At the hearing he pleaded not guilty to the burial service fraud and false statements charges.,3.0
d92eac03-81f3-4c29-9ee6-2470aa5fbfbc,The bird is taking a bath under the faucet.,A bird is bathing in a sink.,4.429
aef1673f-83f1-4521-8e94-4e81eeebd778,Animals are playing in water.,Two men are playing ping pong.,0.0
a3909568-825d-41db-b8c7-6954cf1103f3,I'd say it primarily depends on two things:,I'd say it depends what conditions you have.,2.0
4b1c34b9-574c-454d-8254-b0837bbaa595,Chapman was not immediately arrested and is expected to appear for arraignment July 3.,"Mr. Chapman, who hasn't been arrested, is expected to appear for arraignment next Thursday, prosecutors said.",3.8
2bcc8ae7-48f5-4ff0-98d1-e93f77a1adb7,A woman is running on the beach.,A dog is swimming in a pool.,0.0
742aa33a-c021-4d4f-9da9-031b6cd4948d,There is no test that can tell you if it is sealed or not.,There is no code telling you that you cannot do this.,0.0
4c4cc328-52ac-4d67-ae62-19d4e37337ea,A wet child shivers under a towel at a pool.,A wet child is shivering in a towel in front of a pool.,4.6
3e31e776-ef6b-409d-a3f0-88c8493e28a2,India Minister's wife died 'unnatural death' after affair rumours,Minister's wife's death 'unnatural',3.8
40c0a85b-3237-4556-9f17-cb07ebd32902,There are two men near a wall.,Three women are sitting near a wall.,2.0
27e49f70-1df4-4e89-809f-1d86a280941f,Two birds interacting in the grass,Two dogs play with each other outdoors.,0.2
22318e1a-51a6-4f43-87cb-dbd990b2ce4b,A black dog and a white dog playing in the street.,A black dog and a white dog play in the street together.,4.6
9e134b1f-dd7e-41c7-87ec-18b2d609f7e9,"Cisco executives said they were encouraged by $1.3 billion in cash flow and the increase in net income, but hoped for a rebound.","Cisco executives were encouraged by $1.3 billion in cash flow and the increase in net income, but said they remained ``cautiously optimistic'' about a rebound.",4.6
9275746a-4679-41ce-b9ed-63169c12205c,A young boy in a white dress shirt is playing on a grassy plain.,A woman is getting her hair done at a salon.,0.0
8f4f8222-e0fc-4413-848a-d1c5c06af0a4,"""I feel confident saying that HP is no longer an integration story,"" Fiorina said.","""We still have a lot to do, but I feel confident that HP is no longer an integration story.""",3.4
059a9497-934b-49a8-a3b4-8a40e9f310c9,"TVT Records sought $360 million in punitive damages and $30 million in compensatory damages, officials said.",The damages included $24 million in compensatory damages and $52 million in punitive damages for IDJ.,1.25
faecf5eb-94eb-49ba-8282-51ee534e643e,"Egypt braces for more protests, prays for calm","Egypt braces for more protests over Morsi, prays for calm",3.8
56430452-963f-40d1-bbd4-786b2b907a57,Israeli PM makes case on Iran to US voters,Israel blames Iran for attacks on its diplomats,1.2
bcb24d83-8d8f-4267-b947-405a0f3247d1,"Chera Larkins, 32, of Manhattan, charged with three sham marriages, is also charged with perjury and filing a false instrument.","Chera Larkins, 32, of Manhattan, charged with perjury and filing a false instrument in three marriage applications.",4.6
647bac26-1632-49f3-ba37-acced72b478a,A man and a woman are different yes.,Men and women are different yes?,3.4
ee9f3f0a-db2b-432a-ba7a-28a3d26a1ac2,A cat and a ferret are playing.,A ferret and kitten play together.,4.25
7cc38e8d-2d89-444c-9581-aac90107ab86,a man wearing a grey jacket standing on the side of a street.,A boy wearing a blue life jacket is holding onto the side of a green boat.,0.6
45726953-c10f-4f3a-83a9-ce600df7fe7b,A man is singing while playing the guitar.,A man is stuffing himself full with food.,0.5
e13a7466-b307-4496-81bc-2b38f0fcc5e5,photo of a television screen showing a movie.,The wall-mounted flat-screen TV is showing a movie.,3.2
66447c97-fbb4-4d15-a116-725d082dff32,"Suicide Bombs Hit Egypt Military in Sinai, Kill 6","Suicide bombs hit Egypt military in Sinai, kill 4",2.8
d1ee10dc-7392-42b4-be08-bea41b086944,"The technology-packed Nasdaq Composite Index <.IXIC> dropped 37.78 points, or 1.94 percent, to 1,912.36.","The Nasdaq composite index fell 2.95, or 0.2 percent, for the week to 1,912.36 after stumbling 37.78 yesterday.",2.0
cbb2a0df-51a8-4ca6-a80c-691a2716c5ba,ALTHOUGH SATELLITE INTENSITY ESTIMATES FROM TAFB AND SAB ARE ONLY T./,SUBJECTIVE DVORAK INTENSITY ESTIMATES FROM TAFB AND SAB INCREASED TO  KT.,2.0
bf585017-87d2-4a60-a583-038f89018dd9,"The bulk of the funds, some $65 billion, will go for military operations in Iraq and Afghanistan.",The bulk of the bill - $64.7 billion - goes for military operations primarily in Iraq and Afghanistan.,4.0
c46b7a58-ac8f-4f21-88f5-ab506bb1e807,The woman is shooting a machine gun.,The man is shooting a gun.,2.0
5010f6f4-3c6a-4b4c-8071-5e74726bd9fc,Tokyo stocks open down 0.24%,Tokyo stocks open up 0.52%,2.8
594d7dfa-47c8-466c-af2a-cfce5f08c466,Two Palestinians die in attacks on Israelis ahead of Kerry visit,Palestinian official slams Israel's stone-throwing bill,0.0
4a27b90d-b579-410c-b763-3a0e66573ac7,The lamb is looking at the camera.,A small bird standing on a log at the waters edge.,0.0
6767d37c-5703-4dcd-904d-f7293bb2664d,New Zealand set to legalise gay marriage,New Zealand votes to legalise same-sex marriage,4.6
77f0b721-5f3d-4abf-9e93-cda17d5ed51c,Jesse Jackson Jr. and wife to plead guilty to fraud,"Jesse Jackson Jr., Wife to Plead Guilty to Fraud",4.6
56d3e933-eff1-487c-9510-ad39ee4837db,Brian Brabazon said his son would get upset but then turn around and befriend his taunters.,"Her son would get upset, his mom said, but then turn around and befriend his taunters.",3.2
033d3118-254a-4686-8e87-dcafb261cdde,Two dogs fighting in the snow.,Two dogs standing in the snow.,2.4
970f61c4-b3d7-4320-b808-ee5b2dc4665f,Scientists believed Stardust trapped thousands of particles of dust.,Stardust was designed to gather thousands of dust particles streaming from Wild 2.,3.0
82b5aaee-60fa-4cf0-a0e3-2310008f4dc2,A black and white cat and dog on a striped couch.,A black and white cat standing in front of a window.,2.4
0bd37851-49fe-46dd-90d2-8d2e6e08f659,"""Americans don't cut and run, we have to see this misadventure through,"" she said.","She also pledged to bring peace to Iraq: ""Americans don't cut and run, we have to see this misadventure through.""",3.6
a266d870-b07c-488a-96a2-fc3cd80563de,"Suicide bomber kills eight, wounds 13 in Afghan capital - police",Suicide bomb kills 4 in Syrian capital's Old City,0.8
a749dbd3-4536-4cc6-8baa-fac4e36b07b0,Four kids holding hands jump into a swimming pool.,Four dogs playing in the snow.,0.0
70b28a81-de1b-404a-a9d6-7220b2a5050d,A man is cycling.,A boy is riding a bicycle.,2.5
8ab028a8-9929-47dc-98b7-84d3afa235fd,6.1-magnitude quake strikes Indonesia,"6.1-magnitude quake hits Papua, Indonesia -- USGS",4.2
278e6b52-7de5-4591-9acf-ce49b7b88d71,Two people paddling a red canoe are reflected in the still water.,Two people in a red canoe on a clear lake.,3.2
c42c7094-2209-4d3f-896d-3ec3adec579c,"The Dow Jones industrial average <.DJI> was off 58.69 points, or 0.64 percent, at 9,137.86.","The Dow Jones industrial average .DJI fell 79.43 points, or 0.86 percent, to 9,117.12 on Friday.",2.4
8c79f7ca-5c46-45b8-aa4b-02dd21154f68,An airplane facing the camera.,A lone cow sits in the cold of the yard.,0.0
10b56099-cd31-409a-b6d4-1e9d28f49178,She asked to be excused from last week's Cabinet session to prepare for a meeting with the presidents of Rwanda and Uganda.,She took the highly unusual step of skipping cabinet to attend a meeting with the presidents of Rwanda and Uganda.,3.455
36df326f-8263-4470-944c-afabec1d54c4,A woman is chopping a hard egg.,A person is cutting  boiled egg into pieces.,3.533
3932b185-03bc-4d31-a093-1e628634c8f7,AbbVie Sours on $55B Shire Deal After Tax Changes,AbbVie cools on $55bn Shire deal after US tax changes,5.0
5c140452-7ccb-4ec8-a931-252820adae68,A man playing the guitar.,A woman is painting her lips.,0.0
b357cd6d-b4c0-4e9c-988e-006f334d00c4,Japan suffers severe flooding - in pictures,Oklahoma wildfires destroy homes - in pictures,0.8
b21cdf47-4af4-4fd5-bdb0-f291c1a0ee4a,A man standing on a boat is pulling another boat close by with a bamboo stick.,a man in a black hat standing in front of a brick wall and a sign,0.0
de699832-d1c2-4ee3-95e8-441d1b22516a,A young men jumps off rocks into a lake.,A young man in red swimming trunks jumped off a large rock into the water.,4.0
85232d40-5523-4536-b2b3-576408ccb861,the chinese government gave active cooperation and assistance to the organization for the prohibition of chemical weapons inspections.,the ecuadorian foreign ministry said in a statement that delegates from the organization for the prohibition of chemical weapons (opaq) will also take part in the meeting.,1.0
092ac3c1-2cf6-4845-88b1-6474589668ad,The answer to both questions is: Yes.,To directly answer the two questions in your title.,0.0
078617e5-e244-4f25-8994-f71d07fe6fdf,A man is buttering a piece of bread.,A slow loris hanging on a cord.,0.0
1581b316-3ef8-4a5f-b23d-f1166edef687,A group of people are standing by a window watching something.,A group of people stand and wait to see something.,3.4
dcc35021-345a-45d5-9650-290197b43e31,AstraZeneca pays $4.1bn to buy Bristol-Myers Squibb out of diabetes alliance,AstraZeneca to buy Bristol out of diabetes venture for up to $4.1 billion,5.0
f91fb290-7b79-4bec-8bf0-334326e08a53,Four seriously injured in M23 motorway crash,Four injured in motorway crash,3.6
d800e817-158c-40a7-b729-055a15db6839,Five-time Tour de France winner and cancer survivor Lance Armstrong had a few words of advice for other cancer survivors in Denver on Friday.,Five-time Tour de France winner Lance Armstrong is in Denver today for a meeting about surviving cancer.,3.4
99b7c717-69b4-4dd0-9bae-bdb6d8a062a1,A steam engine comes down a train track near trees.,A train is at a train station.,1.4
aca4d03f-3e9d-40a4-bc89-a84e16198ed5,"My experience with Danios has that they always have been ""bossy"" fish.","Breed Zebra Danios are extremely hardy fish, they are almost difficult to kill.",3.0
addd8d7f-28db-4d31-aecd-4f0d8e09f43f,"The Nasdaq composite index added 30.46 points, or 2 percent, to 1,520.15.","The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 after gaining 30.46 yesterday.",2.4
5bac663b-a3ec-4c75-abaf-09bfc4f88fa2,The seagull is floating on the water.,Large cruise ship floating on the water.,1.2
76a1fbb3-247b-41a7-a37d-1cd508635466,A bicyclist in black on a black and red racing bike.,A cyclist in black and white lira speeding past spectators.,3.4
336a7aca-10bf-48f1-9c54-c21b1dd50d18,EU foreign ministers to discuss Syria arms embargo,EU foreign ministers seek solution on Syria arms,3.6
633d03cb-6a15-4a53-b88a-96caa664ec3d,Rev's Early Reads: March 2,"Rev.'s Early Reads: Sept. 3rd, 2015",2.0
1d3f9ab8-eefb-488f-b832-3d13dfad2cfe,"Islamic militants kill 9 foreign tourists, 1 Pakistani",Gunmen Kill 11 Foreign Tourists in Pakistan,2.8
c304ae50-bab8-4aba-b932-1d7d9f7b066f,Pope calls for action on climate change in draft encyclical,Pope urges action on climate change in draft encyclical,5.0
11bf4936-7bf3-46d6-9299-e0c483826514,Two robots kiss.,Two robots are kissing.,5.0
b04b0002-8418-40a3-a53b-15fe53ed7caa,"Dubbed Project Mad Hatter, the Linux-based desktop is being promoted by Sun as a more secure and less expensive alternative to Windows.","Designed to compete with Microsoft Corp., Project Mad Hatter is being positioned by Sun as a cheaper, secure alternative desktop operating system to Microsoft's various desktop offerings.",3.8
a80f28ed-7ff4-493b-9fce-1bdca642bad2,Bombing Aimed at Hezbollah Hits Southern Beirut,Explosion Hits Hezbollah Area South of Beirut,4.2
c73c0275-662e-4334-bb40-8cb01e25de49,"""I don't know if the person I'm talking to now may end up being someone else at another time that may not follow the rules,"" Parrish said.","""I don't know whether the person I'm talking to now may end up being someone else,"" Parrish said.",3.4
b485aaf7-92f8-4eed-80ac-5ee8520ad534,A group of sheep grazing on a hill.,A group of sheep are on a hill.,4.0
e64d381e-58a6-419b-9cf2-9fbb44412b9a,"Freezing motion generally requires one, maybe two things: fast shutter speed, and flash at the right time.","In addition to @Pearsonartphoto's answer, you can use flash (either the built-in or better yet, an extarnal) to freeze the motion.",2.6
1765e393-17c1-4580-ac04-aec28158f5b0,Someone is reading an email.,A man is reading his email.,3.4
f9d8ad68-1ca9-4ce5-95f8-8d80169c9c6b,Two killed in new Israeli strike on Gaza: medics,"5 die in strikes on Gaza, militants barrage Israel",2.0
6aedc28c-ecb2-49a4-a2d6-b6e6494674a7,A man is mowing grass.,A guy is mowing the lawn.,4.8
7cbcae3f-4f14-40e1-a328-6f885b97ae2d,Plastic toys are floating in water.,The ladies are performing a dance.,0.0
f40f2810-10f4-4f56-bcc8-451eb95b1354,4 French Soldiers Reported Killed in Afghanistan,British Soldier Killed In Afghanistan,1.0
ace74768-7f38-4ee6-8b63-1975edfc8bf2,At least 12 dead in Washington ...,At least 150 dead as strong quake hits southwest Balochistan,0.4
d23ed33b-27d6-44a4-bb15-46007f6b763b,You should take this animal to a vet right away.,"As covered in the other answers, your only option is to see a vet in order to have surgery done.",3.6
9492634d-d5f2-4617-9c53-e4bda6e913c3,"To paraphrase a common saying, ""One man's weed is another man's lawn"".","First, let me say I've no experience doing battle with Bermuda grass.",1.0
6dbced6a-8a57-42fa-8999-8d33224df69c,"Those conversations had not taken place as of Tuesday night, according to an Oracle spokeswoman.","Those talks have not taken place, according to an Oracle spokeswoman.",4.0
2fbd7b97-1427-485c-abbc-c40117aaeb72,The 30-year bond US30YT=RR dipped 14/32 for a yield of 4.26 percent from 4.23 percent.,"The 30-year bond US30YT=RR lost 16/32, taking its yield to 4.20 percent from 4.18 percent.",3.333
24199c25-ceb8-4467-9f4f-2911ab713d00,"If it's a Bill Gates Comdex keynote, it must be time for new Tablet PCs.","If it's the Sunday night before Comdex, it must be time for yet another Bill Gates keynote.",3.067
c0efcb2c-bffe-4013-951a-bfd528b5dadc,"You can use it, too.","Yes, you can do it.",3.0
5291945e-17d1-428f-925e-574825d28409,Syria hands over bodies of journalists,Syria TV says govt troops free captive journalists,1.4
7710f41e-9de4-48ef-a02c-13d9f4453b26,But the justices ruled that the police supervisor who repeatedly questioned Martinez did not violate his Fifth Amendment rights in doing so.,But the justices ruled that the police supervisor who repeatedly questioned Mr Martinez as he screamed in pain did not violate his Fifth Amendment rights.,3.75
8d5cfeb4-d9a2-47dd-ab88-8051f5ac9633,Thirty-Seven Dead In Italy Tour Bus Plunge,Thirty Dead In Italian Bus Plunge,3.2
21af2518-5ab3-490e-b4d0-730adcaa21da,A boy is singing and playing the piano.,A boy is playing the piano.,3.0
aa7884ef-440a-4a32-9054-9c189135bd7a,A man  is driving a car.,A woman dips a shrimp in batter.,0.0
11d6e9fc-fb09-4668-b542-57257eee43b4,"The federal and local governments remained largely shut down in the aftermath of Hurricane Isabel, as were schools, and much of the region's transportation network was slowed.","In the aftermath of Hurricane Isabel, federal and local governments remained shut down, as did schools and many businesses.",3.25
a07adcac-2018-4195-8985-13573da8fbb6,A society fraying at the edges,Old TV alignments crack at the edges,0.4
1a14d3fe-7e8b-4cd7-b141-37b232cf2ab4,A cheetah is running.,A cheetah is running across a field.,3.8
05c80f3c-6b7d-464f-a18d-f23ac265df04,The man is hiking in the woods.,A man is tracking in the wood.,3.0
76008685-32ab-4cd3-8410-0a14e4680d4a,The birds are swimming in the water.,Birds fly low over water.,1.8
9b0175a2-5468-4566-9109-00fc5b16d9f7,UN says US drones violate Pakistan's sovereignty,UN: US drone strikes violate Pakistan's sovereignty,4.4
21ed85d8-a79b-4a88-968d-d338a8982b89,Even though the question has been answered I would like to add my answer .,"I don't know if I should say this, but if your job is making you anxious.",0.0
9003a729-d901-48ff-a25d-ab34b6566c2c,A group of people having a meal outside.,A group of people eat at a table outside.,4.2
